True_Value,Predicted_Value,Set
16.1868,16.456193702282228,Train
-0.8036,0.8096842113928684,Train
16.5886,17.35599956236528,Train
11.3078,14.237786114156119,Train
3.5588,2.581336303500903,Train
-6.4862,-8.049232690829452,Train
14.063,13.101622941439441,Train
1.9516,5.851969173140894,Train
4.305,6.390849312274009,Train
-8.61,-10.690365083922334,Train
11.9392,12.331448288722477,Train
15.7276,12.253047693747856,Train
3.6162,4.781820999087138,Train
-9.0118,-7.672476259496067,Train
4.5346,0.6215876113840171,Train
-0.9758,1.7581810677420613,Train
16.8756,15.900449784815788,Train
-4.4198,-0.9033156596865393,Train
7.1176,6.7402138282618775,Train
13.3168,12.348556127430175,Train
13.489,14.83752108006718,Train
12.1114,10.305606644610457,Train
18.0236,16.89774355158021,Train
-10.332,-11.446171106957546,Train
15.6702,12.245440637298174,Train
7.8638,9.32372751948227,Train
10.2746,10.769047340419991,Train
-1.6646,-0.03971416146105433,Train
10.3894,8.786476163469601,Train
-11.7096,-9.6955311475967,Train
-2.1812,-0.9359672919196225,Train
-0.4018,2.986312083974857,Train
18.1384,17.451887268830824,Train
13.6038,13.655606068276139,Train
12.915,10.226389885802737,Train
12.2836,10.210874604334165,Train
10.5616,11.085980909987503,Train
16.1294,15.946902856928375,Train
19.803,17.826854111459582,Train
4.018,2.6815565000088535,Train
10.4468,9.176226753639057,Train
9.6432,12.969352534763576,Train
3.5588,2.334532867809145,Train
-1.148,0.16773219870568123,Train
23.247,18.102510449558878,Train
3.5588,3.123922844826592,Train
17.507,17.517152884340547,Train
8.2082,6.373297778577668,Train
3.3866,6.843375134673778,Train
1.8368,3.8027776469279777,Train
14.637,14.329232163865258,Train
-0.287,0.9532733171451238,Train
-1.7794,1.0099839831457391,Train
6.314,5.293927316354189,Train
19.4586,17.594193601209028,Train
8.5526,8.544055033952688,Train
9.5858,8.22161256469025,Train
-7.6342,-9.800172413673373,Train
11.9392,11.664813950139743,Train
-8.0934,-7.800263263551024,Train
13.3168,13.427823082529768,Train
5.7974,9.439164676041672,Train
17.8514,12.18105250675817,Train
-11.8244,-7.856076352900233,Train
-0.4592,1.8907012806689174,Train
-7.0028,-5.321765923937704,Train
7.2898,8.252830523777309,Train
6.4288,8.042301646090483,Train
-6.9454,-4.851028115863819,Train
-9.5284,-3.561073836832467,Train
15.0388,14.848957194803486,Train
19.516,11.966429657182314,Train
-5.9696,-4.549888992433139,Train
21.4102,18.983888362310143,Train
8.4378,7.420463584299932,Train
12.3984,12.360633044499385,Train
21.812,19.84094464096781,Train
6.4862,6.856048009872711,Train
-1.148,1.3863534416474392,Train
0.6314,4.664688413197466,Train
0.2296,-1.1235799115066634,Train
4.4772,5.357743761719743,Train
-2.1238,-0.5670361013767451,Train
1.9516,3.2722832558018498,Train
6.4862,6.856048009872711,Train
2.8126,3.657757069161107,Train
-11.767,-7.702400700468107,Train
15.498,16.245035540237442,Train
15.9572,16.678822244896065,Train
12.3984,12.360633044499385,Train
5.74,5.5150339142134905,Train
-4.2476,0.47500672741322525,Train
5.8548,6.928285269763181,Train
-2.8126,-0.052615084793948164,Train
9.7006,9.126603221951603,Train
8.323,7.1036445004568405,Train
6.5436,4.798162925681299,Train
4.9364,4.835323692076511,Train
16.9904,13.797490190312546,Train
18.1384,16.546889035000078,Train
13.3742,10.544631244287082,Train
8.897,10.680517421805089,Train
12.1114,8.94914047928339,Train
13.5464,10.09170495257606,Train
7.8064,4.450223228485579,Train
3.3866,3.5418095841197337,Train
-2.296,0.37121541556111026,Train
2.1238,2.307156684230807,Train
13.776,13.479022058202073,Train
7.3472,9.267164236452714,Train
15.498,16.245035540237442,Train
16.1868,16.456193702282228,Train
10.3894,10.901095250967241,Train
9.6432,12.969352534763576,Train
18.8272,18.166069551636696,Train
0.1722,-2.110680574197797,Train
7.9786,7.448206899780643,Train
5.3382,3.917994465747456,Train
-7.6916,-5.487851619747394,Train
8.4378,9.729412539567546,Train
12.915,11.18515880449949,Train
12.5132,13.142589186330191,Train
-8.036,-10.449173449572964,Train
0.9758,2.680914859668693,Train
13.8908,16.713697480991055,Train
4.592,4.854611592837461,Train
10.2746,8.208627723895068,Train
6.1992,9.095520641475806,Train
-3.0422,-1.951727241784731,Train
9.3562,8.934562911568714,Train
2.009,7.261420540795684,Train
17.9088,17.627534676607606,Train
8.036,10.584607498753645,Train
15.8424,14.074612580566013,Train
10.045,7.369613190341913,Train
-2.4108,-4.920281908957596,Train
0.9184,0.5813554266830536,Train
4.3624,2.8569784174417947,Train
19.5734,16.107284214727848,Train
-9.1266,-2.2938521742409304,Train
16.1868,15.027974971261179,Train
10.7912,9.657096816209574,Train
15.9572,14.875889357436474,Train
7.5768,5.807872111128656,Train
-12.5706,-5.987469516440617,Train
13.7186,13.938083366674688,Train
15.0388,14.848957194803486,Train
11.9966,11.439354668885654,Train
12.2836,12.139495985256417,Train
5.5104,6.905400829479413,Train
1.5498,0.44287930774137774,Train
21.9268,20.731077525986493,Train
-1.2054,-0.13568073474046916,Train
7.749,9.007618029616964,Train
0.2296,4.984436913431198,Train
1.8942,1.8305386508792472,Train
4.5346,6.505151692141546,Train
11.8818,12.543598349151745,Train
-0.6314,-1.1781397110733884,Train
14.7518,11.897853204198402,Train
6.314,2.165945546743867,Train
-8.8396,-6.175700480254552,Train
4.3624,6.614716288548295,Train
18.3106,19.00117114641683,Train
-0.287,3.254068407103385,Train
17.9088,17.627534676607606,Train
13.2594,9.670261486522111,Train
1.5498,0.44287930774137774,Train
16.5312,15.391143430624922,Train
-1.0906,2.0288145587683584,Train
1.2628,-0.6487376962278493,Train
7.9212,9.968760319283062,Train
-2.8126,-4.8184780657384945,Train
2.0664,2.1689889755831757,Train
7.462,6.244741354066978,Train
2.87,1.5484531466623075,Train
7.9786,7.6940047106201375,Train
4.2476,2.4376676038652203,Train
8.2082,9.024623443489373,Train
6.5436,4.798162925681299,Train
0.9758,2.3715961155468497,Train
-0.6888,3.2687272284102713,Train
12.2836,11.574699077141924,Train
-2.3534,-3.281629367442573,Train
16.1294,16.657135250066023,Train
5.5104,4.487200797872673,Train
5.166,5.355335484295251,Train
9.471,8.68840140408983,Train
-2.2386,-0.32744875518955396,Train
16.8756,16.704435887284347,Train
-2.0664,0.2236924224645822,Train
-3.5588,-4.950942913072893,Train
5.3956,10.447002493033995,Train
2.583,1.2337105609133667,Train
-9.6432,-11.034940213636563,Train
7.175,7.932220577729848,Train
4.1902,6.178007123450186,Train
7.8064,5.776608874678843,Train
6.2566,6.362303601387982,Train
7.6916,4.004965548240401,Train
18.3106,10.972764991360576,Train
9.6432,12.969352534763576,Train
-6.4288,-2.873669612139416,Train
11.2504,10.331789242328497,Train
8.7248,8.897361698325673,Train
14.8092,12.16457964639147,Train
6.4288,7.621058656177317,Train
15.1536,14.553894992360718,Train
25.8874,13.351286561649676,Train
1.722,2.8215890877099277,Train
-4.9364,-7.032485402647653,Train
11.2504,9.296125595097456,Train
-5.3956,-8.592356780506716,Train
5.2234,4.3157653812525,Train
2.6978,2.766010878669932,Train
5.8548,7.098813869220787,Train
15.785,14.815187532490889,Train
9.1266,7.6394670380588,Train
11.8818,8.97138629304728,Train
-1.9516,-3.7988722880634818,Train
6.9454,5.104925940141632,Train
-8.7822,-6.947575246768045,Train
9.0692,6.470769548934353,Train
11.5948,11.384517334497446,Train
-1.0332,-3.8127963427698557,Train
9.184,9.565748957588633,Train
19.4012,17.461226578042847,Train
-15.8998,-11.952998880868208,Train
16.8756,16.704435887284347,Train
2.9274,8.546033367184355,Train
15.5554,16.329694256847183,Train
4.8216,3.540985638840641,Train
14.2926,13.246423852396914,Train
5.9696,8.216344256112537,Train
6.4862,7.456741763073019,Train
1.0332,5.106563351673373,Train
2.7552,0.2534981163843373,Train
9.6432,8.238709616696674,Train
0.4018,1.493813892583841,Train
3.6736,7.624541762409671,Train
7.175,7.932220577729848,Train
9.5858,6.150217999057062,Train
1.0906,0.7449941292032367,Train
15.5554,16.329694256847183,Train
9.8154,13.409798168917824,Train
2.2386,1.4881336431687116,Train
12.8002,11.321727350311223,Train
12.341,13.18091986352499,Train
7.3472,9.267164236452714,Train
13.7186,12.930559984254396,Train
-1.6646,2.0782256158029533,Train
15.4406,15.504137194729044,Train
5.9122,6.258900070235223,Train
13.6038,11.860242456337335,Train
19.4012,17.461226578042847,Train
7.6342,7.685314525367685,Train
4.7068,5.541945497531453,Train
-8.2656,-4.377330968266303,Train
16.072,16.70198054342344,Train
15.5554,8.853619352672688,Train
15.6702,14.349762640530372,Train
15.2684,15.126379879097971,Train
14.924,15.074422106871838,Train
3.731,2.9117306964656864,Train
