True_Value,Predicted_Value,Set
2.7552,2.4940954172013523,Train
9.6432,9.658519912009185,Train
0.4018,0.5437749208072019,Train
3.6736,3.7830836350514576,Train
7.175,7.2193652903926955,Train
9.5858,9.561938314624502,Train
1.0906,0.9915695747033515,Train
15.5554,15.628308969640475,Train
9.8154,10.116735028058224,Train
2.2386,2.1863860276640943,Train
12.8002,12.752767132033082,Train
12.341,12.57800103904909,Train
7.3472,7.236770066213753,Train
13.7186,13.700069412867434,Train
-1.6646,-1.4711027610382434,Train
15.4406,15.406807945290856,Train
5.9122,6.000387724792788,Train
13.6038,13.346161398909496,Train
19.4012,19.393155997562122,Train
7.6342,7.593849778260757,Train
4.7068,4.655790281312961,Train
-8.2656,-8.273940615661342,Train
16.072,15.954132987398173,Train
15.5554,15.667077472385474,Train
15.6702,15.680088165246499,Train
15.2684,15.338390894895797,Train
14.924,14.917808134284991,Train
3.731,3.6964104375635634,Train
17.9088,17.800368066674245,Train
-1.8942,-1.7204044711113293,Train
-3.3866,-3.4314340084857813,Train
10.2746,10.071375062802522,Train
5.9696,5.802098464522082,Train
16.1868,16.13000503418677,Train
4.879,4.69551190144927,Train
6.4862,6.344971463230737,Train
15.3258,15.275947623777494,Train
-5.9696,-5.74813137141755,Train
5.8548,5.840136824900059,Train
10.906,10.945439241635732,Train
9.8154,9.959515971843388,Train
10.3894,10.710398725593665,Train
18.4828,18.406118491413796,Train
14.4648,14.871162792147585,Train
12.7428,12.573697941182354,Train
7.9786,7.987289109709097,Train
-6.5436,-6.7540315995738975,Train
-11.0782,-10.975345501974106,Train
20.2622,20.097532169885177,Train
0.1148,-0.0657904008527602,Train
21.8694,21.90867189243248,Train
-8.2656,-8.311824991587853,Train
8.7248,8.63616320629218,Train
11.7096,11.725334800238434,Train
-3.0996,-3.020403308466076,Train
11.9392,11.950716093504406,Train
11.767,11.64493405292351,Train
14.1204,14.111204111869856,Train
18.1384,18.0964180705521,Train
-5.6826,-5.639205436367215,Train
6.9454,6.8832089988542275,Train
18.0236,18.063303231649094,Train
1.5498,1.67648784464053,Train
-1.148,-0.8906561465256848,Train
6.3714,6.462828787359561,Train
7.0028,6.668809676790311,Train
5.1086,5.364335400921311,Train
10.5042,10.336230025919349,Train
10.1598,9.993304662262892,Train
17.9088,17.83968720742433,Train
11.9392,11.938066709185387,Train
5.9696,5.976642415570473,Train
6.7732,6.702366216285172,Train
18.0236,18.063303231649094,Train
12.341,12.288467568585396,Train
-3.7884,-3.645503001405593,Train
8.4952,8.420224624867824,Train
-1.8368,-1.8937925557662059,Train
-13.4316,-13.449461727262612,Train
1.0332,1.0879841088413962,Train
15.211,15.142907035190627,Train
-11.0208,-10.980807075095745,Train
16.0146,15.8933228821096,Train
3.3866,3.266356646149325,Train
8.8396,8.70146953123393,Train
-4.4198,-4.3776785341403075,Train
2.1238,2.241181888380414,Train
11.8244,11.70942202742701,Train
15.8424,15.8878098255895,Train
10.1598,10.392811192269102,Train
0.9184,0.7987976701719278,Train
3.444,3.169231817696544,Train
3.3866,3.468175250337217,Train
13.8908,13.68847395637741,Train
-9.184,-9.114654912529732,Train
0.5166,0.9566453221396928,Train
5.3956,5.129675289662993,Train
19.4012,19.393155997562122,Train
4.0754,4.2290162936195514,Train
18.1384,18.0964180705521,Train
16.1294,15.968828912001753,Train
17.6792,17.472391379260287,Train
2.1812,1.933935003897608,Train
3.8458,3.9826718364483304,Train
6.5436,6.257325579696276,Train
6.8306,6.97577648675528,Train
5.6252,5.946667929546255,Train
9.184,9.222143267439789,Train
0.8036,0.8688785464905259,Train
9.184,9.155956420516711,Train
17.507,17.521995363352982,Train
1.6072,1.5584207872195783,Train
9.2988,9.407566802479513,Train
0.9758,1.0199010183672772,Train
2.583,2.2908410485457424,Train
12.341,12.288467568585396,Train
3.0996,2.8827329078824198,Train
11.0782,10.904054702105608,Train
-2.583,-2.9082421694151463,Train
16.1868,16.13000503418677,Train
21.0084,21.058624995802052,Train
16.8756,17.006220475343603,Train
-2.009,-2.071232543510446,Train
1.435,1.5902813396838915,Train
8.897,8.858525192505393,Train
10.6764,10.71090351338835,Train
9.0118,8.911395995293358,Train
-0.9758,-1.083294975154769,Train
7.175,7.2193652903926955,Train
-7.5194,-7.462733479079909,Train
10.906,10.969055158309462,Train
5.3382,5.50183958459824,Train
4.1328,4.3378177548460615,Train
14.1778,13.950184157227946,Train
4.1902,4.248586887137669,Train
8.4378,8.239916635165471,Train
10.045,9.835751910020393,Train
13.776,13.806452146434795,Train
4.9364,4.953455524975585,Train
7.175,7.059196035281856,Train
-3.0996,-2.907031795957891,Train
20.8362,20.77223386902452,Train
10.1598,10.339016707029787,Train
7.0028,6.7540627231357915,Train
12.5706,12.407865644236763,Train
19.4586,19.438812667502184,Train
