smiles_1,smiles_2,type,r,k,Unnamed: 5,Unnamed: 6,ring,Unnamed: 8
COC,COC,1,0.37,2500,bonds,martini3_ionizable_lipids_repo,BOND_000429,DMG
COC,CC(=O)O,1,0.37,5000,bonds,martini3_ionizable_lipids_repo,BOND_000430,DMG
CO,CCO,1,0.31,5000,bonds,martini3_ionizable_lipids_repo,BOND_000431,ALC
CC(=O)O,COC=O,1,0.35,4000,bonds,martini3_ionizable_lipids_repo,BOND_000437,DMG
CC(=O)O,COC=O,1,0.37,5000,bonds,martini3_ionizable_lipids_repo,BOND_000438,Ester
CCCC,CC(=O)O,1,0.365,5000,bonds,martini3_ionizable_lipids_repo,BOND_000444,DBM3
C,C[N+](C)C,1,0.34,5000,bonds,martini3_ionizable_lipids_repo,BOND_000451,DBS1
CC,OCO,1,0.253,5000,bonds,martini3_small_molecules_repo,BOND_000453,DXLA
ccO,NC(=O)O,1,0.281,25000,bonds,martini3_small_molecules_repo,BOND_000471,NBAPH
cc,NC(=O)O,1,0.272,25000,bonds,martini3_small_molecules_repo,BOND_000538,CLPR
cc,NC(=O)O,1,0.387,25000,bonds,martini3_small_molecules_repo,BOND_000539,NBAPH
cc,NC(=O)O,1,0.408,25000,bonds,martini3_small_molecules_repo,BOND_000540,CLPR
C[N+](C)C,CCCC,1,0.34,5000,bonds,martini3_ionizable_lipids_repo,BOND_000585,DBK2
CCCC,COC=O,1,0.34,5000,bonds,martini3_ionizable_lipids_repo,BOND_000586,KP
CC,cc,1,0.261,25000,bonds,martini3_small_molecules_repo,BOND_000593,ENAPH
CC,cc,1,0.376,25000,bonds,martini3_small_molecules_repo,BOND_000594,ENAPH
c1ccccc1,c1ccccc1,1,0.3,1000000,bonds,martini3_proteins_release,BOND_000603,TYR
c1ccc2[nH]ccc2c1,c1ccc2[nH]ccc2c1,1,0.404,1000000,bonds,martini3_proteins_release,BOND_000604,TRP
CN,cC,1,0.25,25000,bonds,martini3_small_molecules_repo,BOND_000611,NDMBI
c1ncc[nH]1,c1ncc[nH]1,1,0.3,1000000,bonds,martini3_proteins_release,BOND_000612,HIS
c1[nH+]cc[nH]1,c1[nH+]cc[nH]1,1,0.32,1000000,bonds,martini3_proteins_release,BOND_000615,HIH
c1ccc2[nH]ccc2c1,c1ccc2[nH]ccc2c1,1,0.335,1000000,bonds,martini3_proteins_release,BOND_000616,TRP
c1[nH+]cc[nH]1,c1[nH+]cc[nH]1,1,0.3,1000000,bonds,martini3_proteins_release,BOND_000620,HIH
CO,cc,1,0.25,25000,bonds,martini3_small_molecules_repo,BOND_000622,XNAPH
CO,cc,1,0.401,25000,bonds,martini3_small_molecules_repo,BOND_000623,XNAPH
c1ccccc1,c1ccccc1,1,0.29,1000000,bonds,martini3_proteins_release,BOND_000634,PHE
c1ccc2[nH]ccc2c1,c1ccc2[nH]ccc2c1,1,0.293,1000000,bonds,martini3_proteins_release,BOND_000635,TRP
CO,ccc,1,0.32,25000,bonds,martini3_small_molecules_repo,BOND_000703,XBZ
c1ccc2[nH]ccc2c1,c1ccc2[nH]ccc2c1,1,0.412,1000000,bonds,martini3_proteins_release,BOND_000735,TRP
c1ccc2[nH]ccc2c1,c1ccc2[nH]ccc2c1,1,0.47,1000000,bonds,martini3_proteins_release,BOND_000736,TRP
c1ccccc1,c1ccccc1O,1,0.285,1000000,bonds,martini3_proteins_release,BOND_000751,TYR
COC=O,CO,1,0.34,5000,bonds,martini3_ionizable_lipids_repo,BOND_000777,KP
c1ncc[nH]1,c1ncc[nH]1,1,0.27,1000000,bonds,martini3_proteins_release,BOND_000781,HIS
COC=O,CO,1,0.35,5000,bonds,martini3_ionizable_lipids_repo,BOND_000787,B1
c1[nH+]cc[nH]1,c1[nH+]cc[nH]1,1,0.27,1000000,bonds,martini3_proteins_release,BOND_000792,HIH
c1ccsc1,c1ccsc1,1,0.38,50000,bonds,martini3_small_molecules_repo,BOND_000810,2T
