smiles_1,smiles_2,smiles_3,r,k,type,Unnamed: 6
cOC,COC,COC,130,50,2,
cC,cc,cOC,122,50,2,
CN,CN,cOC,71,250,2,
C[N+](C)C,CCCC,COC=O,150,45,2,
C[N+](C)C,CCCC,CC(=O)O,140,15,2,
C[N+](C)C,CCCC,CC(=O)O,140,25,2,
C[N+](C)C,CCCC,COC=O,150,15,2,
C[N+](C)C,COC=O,COC=O,80,35,2,
C[N+](C)C,COC=O,COC=O,80,55,2,
COC=O,CCC,CO,110,10,2,
COC=O,CCC,CO,90,10,2,
C[N+](C)C,CCC,CO,130,20,2,
C[N+](C)C,CCC,CO,110,15,2,
C[N+](C)C,CCC,COC=O,135,20,2,
COC,COC,CC(=O)O,110,25,2,
COC,COC,COC=O,125,15,2,
C[N+](C)C,CCCC,COC=O,150,35,2,
C[N+](C)C,CCCC,CC(=O)O,150,35,2,
COC=O,C[N+](C)C,COC=O,35,35,2,
COC=O,C[N+](C)C,COC=O,45,35,2,
C[N+](C)C,COC=O,COC=O,45,55,2,
C[N+](C)C,COC=O,COC=O,80,25,2,
COC=O,C[N+](C)C,COC=O,50,35,2,
C[N+](C)C,CCCC,CO,150,25,2,
C[N+](C)C,CCCC,CO,150,35,2,
C[N+](C)C,CCCC,CO,150,40,2,
C[N+](C)C,CCCC,COC=O,160,25,2,
C[N+](C)C,CCCC,COC=O,160,35,2,
C[N+](C)C,CCCC,COC=O,160,40,2,
cc,cC,cN(C)C,138,250,10,
cOC,COC,COC,130,25,10,
cc,cC,cOC,138,250,10,
